01.01.91-09.04.92	20
10.04.92-22.05.92	50
23.05.92-29.03.93	80
30.03.93-01.06.93	100
02.06.93-21.06.93	110
22.06.93-28.06.93	120
29.06.93-14.07.93	140
15.07.93-22.09.93	170
23.09.93-14.10.93	180
15.10.93-28.04.94	210
15.10.93-28.04.94	210
29.04.94-16.05.94	205
17.05.94-01.06.94	200
02.06.94-21.06.94	185
22.06.94-29.06.94	170
30.06.94-31.07.94	155
01.08.94-22.08.94	150
23.08.94-11.10.94	130
12.10.94-16.11.94	170
17.11.94-05.01.95	180
6.01.95-15.05.95	200
16.05.95-18.06.95	195
19.06.95-23.10.95	180
24.10.95-30.11.95	170
01.12.95-09.02.96	160
01.12.95-09.02.96	160
10.02.96-23.07.96	120
24.07.96-18.08.96	110
19.08.96-20.10.96	80
21.10.96-01.12.96	60
02.12.96-09.02.97	48
10.02.97-27.04.97	42
28.04.97-15.06.97	36
16.06.97-05.10.97	24
06.10.97-10.11.97	21
11.11.97-01.02.98	28
02.02.98-16.02.98	42
17.02.98-01.03.98	39
02.03.98-15.03.98	36
16.03.98-18.05.98	30
19.05.98-26.05.98	50
27.05.98-04.06.98	150
05.06.98-28.06.98	60
29.06.98-23.07.98	80
24.07.98-09.06.99	60
10.06.1999-23.01.2000	55
24.01.2000-06.03.2000	45
21.03.2000-09.07.2000	33
